Det, Desc, Keyoints, Matches, Time (ms)
SHITOMASI, BRISK, 1179, 767, 5236.47
SHITOMASI, BRIEF, 1179, 944, 536.914
SHITOMASI, ORB, 1179, 908, 759.573
SHITOMASI, FREAK, 1179, 768, 1374.65
SHITOMASI, SIFT, 1179, 622, 854.885
HARRIS, BRISK, 91, 67, 4652.07
HARRIS, BRIEF, 91, 72, 385.042
HARRIS, ORB, 91, 72, 467.646
HARRIS, FREAK, 91, 69, 1358.43
HARRIS, SIFT, 91, 62, 863.716
FAST, BRISK, 4094, 2183, 4652.47
FAST, BRIEF, 4094, 2831, 548.211
FAST, ORB, 4094, 2768, 584.223
FAST, FREAK, 4094, 2233, 1044.56
FAST, SIFT, 4094, 1678, 1124.54
BRISK, BRISK, 2762, 1570, 8978.15
BRISK, BRIEF, 2762, 1704, 5023.83
BRISK, ORB, 2762, 1675, 4892.96
BRISK, FREAK, 2762, 1524, 5452.69
BRISK, SIFT, 2762, 997, 8139.29
ORB, BRISK, 1161, 751, 4454.59
ORB, BRIEF, 1161, 545, 425.386
ORB, ORB, 1161, 562, 394.326
ORB, FREAK, 1161, 420, 1040.65
ORB, SIFT, 1161, 783, 5730.1
SIFT, BRISK, 1386, 592, 5954.05
SIFT, BRIEF, 1386, 702, 1990.77
SIFT, ORB, 1386, 681, 1981.84
SIFT, FREAK, 1386, 593, 2499.87
SIFT, SIFT, 1386, 395, 2286.49
